Season,Week,Date,Tm_Name,Tm_Pts,Home,Opp_Name,Opp_Pts,Rslt,Spread,Total,Away,Under,Win
2014,1.0,2014-09-08,CRD,18.0,1,SDG,17.0,1.0,-3.0,45.0,,,
2014,2.0,2014-09-14,CRD,25.0,0,NYG,14.0,1.0,-2.0,42.5,,,
2014,3.0,2014-09-21,CRD,23.0,1,SFO,14.0,1.0,3.0,42.0,,,
2014,5.0,2014-10-05,CRD,20.0,0,DEN,41.0,0.0,7.5,48.0,,,
2014,6.0,2014-10-12,CRD,30.0,1,WAS,20.0,1.0,-5.5,47.0,,,
2014,7.0,2014-10-19,CRD,24.0,0,OAK,13.0,1.0,-3.5,46.5,,,
2014,8.0,2014-10-26,CRD,24.0,1,PHI,20.0,1.0,1.0,48.5,,,
2014,9.0,2014-11-02,CRD,28.0,0,DAL,17.0,1.0,1.5,45.0,,,
2014,10.0,2014-11-09,CRD,31.0,1,STL,14.0,1.0,-7.0,43.0,,,
2014,11.0,2014-11-16,CRD,14.0,1,DET,6.0,1.0,-1.0,41.0,,,
2014,12.0,2014-11-23,CRD,3.0,0,SEA,19.0,0.0,7.0,41.5,,,
2014,13.0,2014-11-30,CRD,18.0,0,ATL,29.0,0.0,-1.5,45.0,,,
2014,14.0,2014-12-07,CRD,17.0,1,KAN,14.0,1.0,2.5,41.0,,,
2014,15.0,2014-12-11,CRD,12.0,0,STL,6.0,1.0,4.5,40.5,,,
2014,16.0,2014-12-21,CRD,6.0,1,SEA,35.0,0.0,9.0,36.0,,,
2014,17.0,2014-12-28,CRD,17.0,0,SFO,20.0,0.0,6.5,37.5,,,
2014,1.0,2014-09-07,ATL,37.0,1,NOR,34.0,1.0,6.5,37.5,,,
2014,2.0,2014-09-14,ATL,10.0,0,CIN,24.0,0.0,3.0,51.5,,,
2014,3.0,2014-09-18,ATL,56.0,1,TAM,14.0,1.0,6.0,49.0,,,
2014,4.0,2014-09-28,ATL,28.0,0,MIN,41.0,0.0,-6.0,46.0,,,
2014,5.0,2014-10-05,ATL,20.0,0,NYG,30.0,0.0,-3.0,47.0,,,
2014,6.0,2014-10-12,ATL,13.0,1,CHI,27.0,0.0,4.0,50.0,,,
2014,7.0,2014-10-19,ATL,7.0,0,BAL,29.0,0.0,-3.5,55.5,,,
2014,8.0,2014-10-26,ATL,21.0,1,DET,22.0,0.0,6.5,49.5,,,
2014,10.0,2014-11-09,ATL,27.0,0,TAM,17.0,1.0,3.5,45.5,,,
2014,11.0,2014-11-16,ATL,19.0,0,CAR,17.0,1.0,-3.0,47.0,,,
2014,12.0,2014-11-23,ATL,24.0,1,CLE,26.0,0.0,-1.5,47.0,,,
2014,13.0,2014-11-30,ATL,29.0,1,ARI,18.0,1.0,-2.5,48.5,,,
2014,14.0,2014-12-08,ATL,37.0,0,GNB,43.0,0.0,1.5,45.0,,,
2014,15.0,2014-12-14,ATL,20.0,1,PIT,27.0,0.0,13.5,54.5,,,
2014,16.0,2014-12-21,ATL,30.0,0,NOR,14.0,1.0,3.0,55.0,,,
2014,17.0,2014-12-28,ATL,3.0,1,CAR,34.0,0.0,6.0,56.5,,,
2014,1.0,2014-09-07,RAV,16.0,1,CIN,23.0,0.0,-3.0,48.0,,,
2014,2.0,2014-09-11,RAV,26.0,1,PIT,6.0,1.0,-2.0,43.0,,,
2014,3.0,2014-09-21,RAV,23.0,0,CLE,21.0,1.0,-2.5,44.0,,,
2014,4.0,2014-09-28,RAV,38.0,1,CAR,10.0,1.0,-2.0,41.5,,,
2014,5.0,2014-10-05,RAV,13.0,0,IND,20.0,0.0,-3.0,42.0,,,
2014,6.0,2014-10-12,RAV,48.0,0,TAM,17.0,1.0,3.0,49.0,,,
2014,7.0,2014-10-19,RAV,29.0,1,ATL,7.0,1.0,-3.0,44.0,,,
2014,8.0,2014-10-26,RAV,24.0,0,CIN,27.0,0.0,-6.5,49.5,,,
2014,9.0,2014-11-02,RAV,23.0,0,PIT,43.0,0.0,-3.0,44.5,,,
2014,10.0,2014-11-09,RAV,21.0,1,TEN,7.0,1.0,2.5,47.5,,,
2014,12.0,2014-11-24,RAV,34.0,0,NOR,27.0,1.0,-10.5,44.5,,,
2014,13.0,2014-11-30,RAV,33.0,1,SDG,34.0,0.0,3.0,51.0,,,
2014,14.0,2014-12-07,RAV,28.0,0,MIA,13.0,1.0,-6.5,45.5,,,
2014,15.0,2014-12-14,RAV,20.0,1,JAX,12.0,1.0,3.0,45.0,,,
2014,16.0,2014-12-21,RAV,13.0,0,HOU,25.0,0.0,-13.5,45.0,,,
2014,17.0,2014-12-28,RAV,20.0,1,CLE,10.0,1.0,-6.5,42.0,,,
2014,1.0,2014-09-07,BUF,23.0,0,CHI,20.0,1.0,-13.5,39.5,,,
2014,2.0,2014-09-14,BUF,29.0,1,MIA,10.0,1.0,3.0,45.0,,,
2014,3.0,2014-09-21,BUF,10.0,1,SDG,22.0,0.0,7.0,47.5,,,
2014,4.0,2014-09-28,BUF,17.0,0,HOU,23.0,0.0,7.0,47.0,,,
2014,5.0,2014-10-05,BUF,17.0,0,DET,14.0,1.0,-1.5,42.5,,,
2014,6.0,2014-10-12,BUF,22.0,1,NWE,37.0,0.0,-2.5,45.5,,,
2014,7.0,2014-10-19,BUF,17.0,1,MIN,16.0,1.0,3.0,42.5,,,
2014,8.0,2014-10-26,BUF,43.0,0,NYJ,23.0,1.0,6.5,43.0,,,
